,tweet,sentiment
1891,rumor opening temporary downtown austin 4 amp 2 launch,2
1892,employees showed force popup ipad2,2
1893,launch major social network called circles possibly today via,1
1894,still thinking awesome smileyparty going give please,1
1895,egads guysget ahold yourselvesseems like lot men ballroomd crush really googlesxsw,1
1896,whatûªs blogger blogging blogger,1
1897,spread word festival explorer app live free,2
1898,deliciously ironic privacy party made whole quotbanking cartel militaryscientific dictatorship takeoverquot cab rant,1
1899,wifi working laptop neither 3g grrr,0
1900,quotchina middle eastquot,1
1901,design malady elbow hate ipads back button heat million suns tapworthy,0
1902,sugar amp gold play fitzgeralds houston tonight way free show bodyaches remix ep,1
1903,cab driver well prepared hes got laptop blackberry dashboard,1
1904,temp appletore set yay austin tech,2
1905,mad long line party maggie maes hope worth 80s theme optimistic,2
1906,got morphie case time good news gtpower bad news barely fits hand,2
1907,able afford attend buy today consider saving japan earthquake,1
1908,mashup mobile contextual information future marissa mayer thefutureismobile,1
1909,interactive googles mobile future elusive power ofåêhere via,1
1910,autocorrected quotmerrierquot quotnerdierquot must,1
1911,launches people finder service japan earthquake tsunami tnooz wssxsw scrm,1
1912,lovin digital band sings amp plays guitar app fans record vids ipad2s cnn digital cnngrill sxswi,2
1913,tweets android user attendong please report scenes bannka app,1
1914,thanks good friend great gifting exogear backup battery case priceless,1
1915,googles takes stage talk location future maps,1
1916,smart move popup 2s come 5pm tomorrow,2
1917,im q pop,1
1918,set open popup shop interactive conference ipad2 marketing media,1
1919,woman talk sounded like chelsea handler lol,1
1920,devops quotthe internets meanour systems complex go complex systems fail doctorquot,1
1921,googles melissa mayer speaks augmented reality contextual discovery lives change melissa,1
1922,developer meetup packed,1
1923,googles zeiger physician never reported potential ae yet fda relies physicians quotwere operating wout dataquot health2dev,1
1924,need play game android,2
1925,arriving us wednesday looking microsim using data anyone know options,1
1926,even begins wins,2
1927,keeping tabs via awesome app,1
1928,launch social network called circles south southwest today circles,1
1929,horrible repressed memories beach ball coming back progressbar talk,0
1930,xcitng approaching amp soft launch plansandroid demo runningflyers printed tshirts packed austin,1
1931,cant wait see internet implode austin friday everyone stops normal activity order 2,2
1932,launch major social network called circles possibly today,1
1933,employees ran line high giving everyone,1
1934,looking forward j roddy walston amp business party heres vid,1
1935,im looking forward panel tomorrow 5pm left brain search right brain search x,2
1936,hey come fast company grille youre hungry zazzlesxsw get customizable case,1
1937,wahoos party free beers tacos ritas thurs,1
1938,heh opening temporary downtown austin 2 launch,1
1939,busiest country ipad2 w 98 others,1
1940,android app review go pls ª¼,1
1941,stop austin details gallery check art including mine interactive art,1
1942,congrats app featured,2
1943,found app kyping iphones geolocation amp releasing background need patch batterykiller,0
1944,interview mike mccue cofounder flipboard users tune smc fb,1
1945,never seen many products life,2
1946,improve website rankings bing advice get com pk content richdeep,1
1947,quantter launching app soon participating launchrock comp,2
1948,well app create android bookmark review onerous schedule 1 click,1
1949,grrrr muting thought web,0
1950,casually mentioned forecast dow six days ahead based mood analysis twitter data smvis imrich,2
1951,fellow panelist quotipad 2 vs android vs worldquot session today 330,1
1952,highlight day undoubtedly meeting 30 seconds softball fancrazed preso,2
1953,clever set open popup shop core action,2
1954,pop line ridic,0
1955,putting gun head give,2
1956,bettercloud computing insight googles quotwe benefit data centers economies scale continual improvementsquot pgi,2
1957,quotchallenge 2 stay true 2 originally built big amp successful brand experimentation amp moving fastû,1
1958,party league extraordinary h4ackers promoting txt redcross 90999 help japan speakeasy photo,1
1959,umshini wamnight fishing weird shit said work well together liked esp footage,2
1960,app unreal clicked location leanstartup amp person tell still seats,2
1961,enjoying california hollywood silicon valley meets nyc sunny austin bythepool cowboy boots vibe sxswi,2
1962,test popup shop cult mac,1
1963,technology launch social network report claims might use event tech,1
1964,phones demo phones going see,1
1965,love alt universe everyone uses products fastest way reach someone,2
1966,yawn set open popup shop interactive conference ipad2,2
1967,apps speech therapy communication showcased conference sxswi sxsh sxswh hcsm slp,2
1968,speaks truth watched staff temp high five entire long line facepalmed ugh longlinesbadux,0
1969,first person stop booth amp show 2 running one apps wins free snakeheead tee shirt,2
1970,quotmention launch major social network called circles possibly today sxswquot,1
1971,popup south south west,1
1972,apples pop ipad2 sayeth,1
1973,film year folks sitting line reading scripts,1
1974,whats circles,1
1975,ill never forget march 2011 weekend japan earthquake 2 first south southwest memolane yall,2
1976,heading austin austin guide free limited time lp travel,1
1977,team android party cant find gowalla foursquare um go,3
1978,many products isnt time transition chain features features product,2
1979,quotgoogle launch major social network called circles possibly today sxswû creo que serìás el primero,1
1980,check 1030 line popup austin opens 5 pm,2
1981,ûïmention launch major social network called circles possibly today sxswû goog,1
1982,computer droid agnerd confession using laptop blackberry follow afar see agchat,1
1983,never realized storymeaning behind every logo cool loving hearing googledoodle team gsdm,2
1984,set launch social network circles today,1
1985,people lining team android awards,1
1986,tonight checking kills amp checking gsdampmgoogle party come say hi sxswi,1
1987,googles party theme quotparty like 1986quot maggie maes pic,2
1988,bereft wanderer white cord limp lifeless outlet poetry,0
1989,worried guy stated w quotppl spend lot time insidequot help navigate indoor spaces,1
1990,launch social networking site called circles soon officially,1
1991,popup opens love going right middle action via,2
1992,interesting quotmention quotgoogle looks technical solutions theyre great community human solution sxswû,0
1993,even starts captured attention whole show win must taking lessons sheen fb,2
1994,maps usage mobile exceeded desktop usage xmas years day first time ûó marissa mayer,1
1995,opened popup austin nerds town get ipads,1
1996,ûïmention 2 sold 70 went buyers report socialmedia tech ipad2 mediaû,2
1997,party podcasts designerdrugs iampaintedface h0u5t0n,1
1998,great time party sxswi,2
1999,funny correction dashing learn thing two longhorn journalism,3
2000,leo laport popup taping ipadtoday,1
2001,didnt know developer day austin,1
2002,ubersocial app includes uberguide sponsored mashable,2
2003,ûïmention picked 2 back cha think worth upgrade,1
2004,¼ right rain _ ã_ edchat musedchat sxswi classical newtwitter,1
2005,free itunes takes itunes,1
2006,great evening w karateka castle wolfenstein choplifter classics oldsko0l,2
2007,making impossible 2 succumb 2 upgrading year old amp feel like im walking around w bag phone,2
2008,ubersocial app includes uberguide sponsored mashable,1
2009,hey tweeps web industry party calendar u put ur ical amp keep track whats goin,2
2010,cameron sinclair spearheads japan disaster relief via twitter amp,1
2011,ûïmention security guy locks lol,1
2012,party good college party feel,1
2013,body beta uber health2dev cool,2
2014,summary twitter stream right japan omg android engadget effing republicans ipad2 alcohol,1
2015,within hours buying glenda watson hyatt cerebral palsy able communicate strangers public poursite,2
2016,top story schools marketing experts thousands town demonstrate social mar sxswi,2
2017,first person queue austin may,1
2018,already line 2s arrived,1
2019,unboxing,1
2020,left back hotelonly one blackberry bigmistake,1
2021,line people dull get talk person next,1
2022,badgeless event free drinks ûïmention heading free googlesponsored happy hour semantic web austin fogo de chìáo sxswû,2
2023,puts pop folks awesome marketing audience,2
2024,tc marissa mayer 40 maps usage mobile 150 million,1
2025,movies one recommends put flights home tomorrow lazyweb,2
2026,opening temporary downtown austin 2 launch cc,1
2027,part journalsim support democracy yes informed populous yes focus support newsapps,0
2028,twitter failed last time force chokes,0
2029,might joining nfc bandwagonlink slides nfcrfid talk,1
2030,anybody get 2 downtown popup yet tramplings letushopenot poppop,2
2031,quotsxsw go available android blackberry coming soon windows phone 7quot presented hp wait webos,1
2032,quotthe classiest fascist company americaquot says,0
2033,must app lovely review forbes app holler gram,2
2034,awesome amp ranking normal results quit ranking page views unique visitors analytics matter,1
2035,probably needed see line,1
2036,look im bearded guy plaid nfusion,1
2037,attending designing interfaces navigation schemas w great stuff far,2
2038,excellent presentation digital magazines touchingstories,1
2039,launch major social network called circles possibly today,1
2040,flipboard developing version android says,2
2041,listening discuss interaction paradigms designing uxdes,1
2042,opens popup shop via brand values design innovation,1
2043,4 need experts coming together brings experts foursquare together meet greet present,1
2044,want micro usb charger samsung android kindle starting 311 pay 10 7 days snapgoods,1
2045,denies rumors launching circles,1
2046,japan relief help twitter also check maps evacuation map,1
2047,opening pop downtown austin 2 launch via,1
2048,n12 sheep slaughter codes valid 120035959p 031211 infektd necro,1
2049,hey theres offers ya,1
2050,less 2 hours announce details 2 giveaway sxswi,1
2051,outmarkets comers,2
2052,big ups awesome austin newbies map,1
2053,day 4 sxswi wrapup tracy shea rick bobby liebling hotsheet,1
2054,hotpot activity map week austin tx suxsw,1
2055,great way prep download 20 free tracks music sampler available,1
2056,confusion circles claim circles released even development,1
2057,flash discussion still relevant tapworthy design headaches,0
2058,louis vuitton app called amble digitalluxury,1
2059,going austin austin guide free mar 915 lp,1
2060,sets temporary ipad2 im lil jealous,2
2061,sold everything except 64gig wifi white,1
2062,thrilled former chief talent officer gap advisory board sxswi innotribe,2
2063,could first big news building social framework,1
2064,2 takes,2
2065,bought ipad2 downtown austin 5 min wait line get salesperson darryl excellent,2
2066,woke finished recharging means got enough sleep last night right,1
2067,someones buying present opening popup austin,2
2068,talking local search surprises hotpot weight reviews heavier sites results cc,1
2069,end line one block away pop,1
2070,line ipad2 popup 6th amp congress warps around 5th st,1
2071,2 goes sale next fridaythe austin going busy,2
2072,scavenger hunt game businesses released app,1
2073,best pickupline charger,1
2074,ûïmention launch social network called circles today sxswû applause privacy model attempt,2
2075,set open popup shop core action app httpbitlybvhd5s,1
2076,heres latest game worked iphoneipod hobo shotgun made wmention,2
2077,umbrella quotthe listquot via ¼ set _ _ edchat musedchat sxswi newtwitter,1
2078,texas observer tomlinson says would double revenue per issue subscriptions newsapps,2
2079,youll wait 45 weeks 2 appleatxdt popup shipments daily via,0
2080,set open popup shop core action retail,2
2081,strange little japan news penetrates bubble bar tvs cnn suggest anything important 2 going fb,2
2082,googlewebteam youûªre going want talk html css catch webmaster team,1
2083,austin two stores actually brian austin doesnt built pop one,1
2084,love en route austin tx accompanied fedoras instruments weird haircuts products,1
2085,¼ happy womans day make love fuss _ ã_ edchat musedchat sxswi classical newtwitter,1
2086,feature week,2
2087,party calendar gcal,1
2088,mustresistmactemptation opening temp downtown austin 2 anyone,2
2089,yes updated app song info 247 stream others also live video streaming,2
2090,right gowalla 3 app android sweeeeet nice job team,2
2091,follow taptuquotapple 2 lines 2011 hd videoquot shared taptu,1
2092,hey fans get peek space thats slated popup tomorrow,1
2093,social important screw big launch circus socialmedia,1
2094,pen ran ink maybe sign go buy,1
2095,amp facebook official death policies vast majority digi companies dont digitaldeath,1
2096,marissagoogle getting ready next panel googles marissa meyer presents vp consumer prods,1
2097,line 100 outside pop sixth amp congress,1
2098,love quotapple comes w cool technology ones ever heard dont go 2 conferencesquot 2,2
2099,quotso quotrefrigerator magnet gamequot everyone keynote stops listening,2
2100,thanks everyone making great day shop today youre austin come see us tomorrow,1
2101,design like design 101 someone give talk assume didnt ditch prev experience,3
2102,reporting twit sonoma,1
2103,whats going today share photos video ireport cnn app,2
2104,incapable disruptive innovation acquired 89 startups last years leanstartup,0
2105,2 gets temporary applestore ipad2 verizon,1
2106,2 launch major social network called circles possibly today,1
2107,gearing make splash launch quotgroupon living socialtypequot rewards,1
2108,dont forget come privacybootcamp startups,1
2109,first ipad2 sighting interactive infact everyone least 1 product use times,2
2110,battery doesnt last long usage,0
2111,plane full gogglers marketer told friend liked community reading newspapers brings,2
2112,attending designing interfaces navigation schemas akqas lynn teo ballroom yes hiring,1
2113,samsung galaxy ii appears fcc team android party android followback,1
2114,line pop austin first person 6 amthey wait 5 pm ipad2,1
2115,phones staying charged crappy would never handle sleep crazyfest,0
2116,hear appleûªs opening temporary via,2
2117,ûïmention downtown austin open til midnight sxswû ipad2 left stock,1
2118,earth headline cleantech panel tues 330pm follow saveustechies,1
2119,rumor employees given travel per city use less bank diff future trips,1
2120,line,1
2121,shouldshouldnt get 2 discuss,1
2122,check great amp v effective enviro app bin 3gs sxswi greatergood,2
2123,quotdo know really good making feel bad xmas presentquot seth meyers ipad2 doyoureallyneedthat,3
2124,see opening temporary 2 launch maybe transfer,1
2125,barry diller says ipadonly magazines like daily dont make sense,0
2126,update recco panelsparties def good times follow friends whove b4 youre newbie,1
2127,love ipad2 got one popup attendees,2
2128,foursquareûªs extra special revamped fully automated merchant platform denniscrowley,1
2129,dear friends secret michael cerabarbarian group show 5 pm sxswi,1
2130,cant find charger something gone wrong,1
2131,brilliant ive meetings im line popup ipad2 love place,2
2132,cloud keep personal stuff corp way people take care asset,1
2133,marketing genius opens pop outside,2
2134,gearing make splash launch quotgroupon living socialtypequot rewards via,1
2135,yeay ubersocial app includes uberguide sponsored masha,2
2136,ok visiting opening temporary downtown austin 2 launch,1
2137,nice fun thirsty gadget using charge anywhere happy share juice,1
2138,geogames android develop geogames tweet us wed love talkfree beer coffee couple minutes time,2
2139,1 hour ago didnt downtown austin hundreds people ipad2,2
2140,interesting 13 apps watch year startups apps,1
2141,blog watch,1
2142,open temporary interesting,1
2143,improve website rankings advice bing poynter,1
2144,line popup stretches around blockguess wont getting ipad2 today,2
2145,engaging filter iphoneipod twitter app youkidshavefun,1
2146,love quotapple comes w cool technology ones ever heard dont go conferencesquot,2
2147,anywhere chargers use bit,1
2148,true tabletphonelaptop evidence might well call country united states sxswsa,1
2149,watching twit live want go next year also want im content wait awhile always buy technology late anyway,2
2150,going guide austin free march 915 hard beat free lp,2
2151,go beyond earth hour year sharing positive actions world download earthhour 60 app,2
2152,awesome yes gowalla wins best andoid app team android choice awards thanks,2
2153,wait fiona town somebody kidnap put recording studio records album,1
2154,quotgoogle launched checkins month agoquot check ins ok check outs future bizzy,2
2155,messed didnt bring charger anyone got one could borrow 10 mins,1
2156,jealous team android event androidsxsw get swag girl,2
2157,samsung galaxy ii shows woods teamandroid event,1
2158,tool measuring everything displaying one place almost makes cry im happy thank bavcid,2
2159,recreated code pacman doodle original bugs included googledoodles,1
2160,lol interesting ûïmention ûïmention next platform flipboard team started working sxswû,2
2161,tweethouse watching dj rock check wwwranaco dotco,1
2162,googles marissa mayer extolling coolness mobile maps v 52 quotmobile surpassed desktop usage 4 1st time yearquot sxswi,2
2163,today bulletproof ux strategy games amp design patterns anatomy design decision,1
2164,band party entertaining band ever seen,2
2165,win free 2 webdoccom,2
2166,get join actsofsharingcom starting tonight person friends city end wins 2 local,1
2167,40 maps use mobile says,1
2168,line 2 demo units 5pm fb,2
2169,umm would ûïmention keep winning shit thanks killer case sxswû,2
2170,wowwwwww next maps amazing,2
2171,go 11 android live android marketplace features including sd card storage via,2
2172,came left playing song chosen random skreams listening records wall appropriate,1
2173,youre coming sure download go app schedules locations events,2
2174,read groupme sxswsounds like incredible app available android phones yet,2
2175,need get one popup,1
2176,posterous joins pile posterous events richpearson,1
2177,planning launch major social network called circles previews far super positive,2
2178,love quotapple comes cool technology ones ever heard dont go conferencesquot,2
2179,think literally everyone guy dropped foot,1
2180,hmmm launch major social network called circles possibly today,1
2181,yourmom would prob say designing apps u,1
2182,circles launch quotmay good timing given twitter,1
2183,get go work yet ive trying days android evo,1
2184,folks whats best iphoneipad app youve come across far,1
2185,hope theres time left poked liked retweeted love story social vs search,3
2186,design headaches take two tablet call morning,0
2187,strange little japan news penetrates bubble bar tvs cnn suggest anything important 2 going fb,1
2188,think saw lookalike line 2 popup shop hes got awesome amp profitable youtube channel,1
2189,friends changed back hour instead forward atampt hints fix help,0
2190,aron pilhofer york times endorsed html newsapps asked us tweet,1
2191,goers wait ipad2 austin,1
2192,talking location fast fun amp future,1
2193,going awesome gallery original daniel johnston art going tomorrows gsdm industry party,1
2194,crowd swarms ipad2 launch via sxsw2011,1
2195,experimenting tinkering like nineties quotbest viewed best viewed internet explorer 6quot,1
2196,filmasterûªs app foursquare cinemagoers api getglue,1
2197,people back home seems putting together popup people get ipad2 today,2
2198,yup envy roof thanks every person,2
2199,bisotã location 0610 316 austin tx usa platform 2011 killing,1
2200,launching social network reported contrary rumors,1
2201,lines already forming apples popup austin arent people see festival,1
2202,free music compilation featured artists itunes amplifiedlife,1
2203,didnt get enough hacking startupbus rsvp superhappydevhouse sunday austin,1
2204,brand focuses purpose object survive amp succeed search useful info nike sneakers performance,2
2205,yay hoot blog post hootsuite mobile updates blackberry amp android,2
2206,git yer 2 even begins winsåêsxsw via,2
2207,one lone dude awaits 2 appleûªs likely expected bigger crowd forming south,1
2208,interesting circles might launch today social network,1
2209,40 maps use mobile,1
2210,wow dropped side iron cactus balcony screen didnt shatter amazing fb,2
2211,lego mindstorm battle bots superhappydevhouse,1
2212,diabetes plate thanks already covered,0
2213,pen ink miamibeach next week,2
2214,hehe opens temporary retail austin ipad2 launch geeks,1
2215,handheld ûhoboûª drafthouse launches ûhobo shotgunûª app,2
2216,winning free music sampler itunes 22 tracks quotindustry favorites amp breakout artistsquot,2
2217,uses tv room nobody raises hand packed room socialviewing session,0
2218,thank touchingstories preso heres deck,1
2219,aint party like party cause party got tacos n ice cream,2
2220,kick sxswi giving away 2 visit fb page enter,2
2221,awesome download 20 free tracks music sampler available today,1
2222,ûïmention pop austin still ipad2 stock lazyweb sxswû,1
2223,dude propping urinal time isnt valuable ewww,1
2224,great article possible future social media boston next twitter,1
2225,totally agree check googletv apps connected tv connectedtv fascinating,2
2226,35 available android gtgt 5 absolute musthave apps rock interactive via,2
2227,anyone know popup still stock,1
2228,2 contest fullswing great seeing many actsofsharingcom still plenty time join fun,2
2229,arrived early get prime seats presentation googles marissa mayer kek,1
2230,youre meet author host android devs sat 1230pm hilton room 615ab,1
2231,app live rsvp events phone amp check sundayswaggereventbritecom 320 scoremore,2
2232,hmmmm oppty get 2 stop tempting,1
2233,know party find samsung galaxy tab,1
2234,brilliant enlightening game mechanics presentation,2
2235,loving morphie juicepack today recharge worth,2
2236,wondering many come back 2s maybe everyone,1
2237,kinda jealous ubiquity ipads heresxsw,2
2238,server challenge huge hit come booth 400 try hand win 4 bottle opener case beating 2 mins,1
2239,video quotit gets betterquot one featured gets better book due 322 sxswhomo,1
2240,among companies trying make impression interactive ipad2 sxswi,1
2241,rim hp going lease stores next door put ûïcoming soonû signs ltmention,1
2242,theres class war forming 2 owners vs first gen owners,1
2243,incapable disruptive innovation acquired 89 startups last years leanstartup,0
2244,quottheres reason isnt social technicalquot comments,0
2245,could first big news building social framework,2
2246,testing quotcheckinquot thingamajig austin,1
2247,saveustechies panel getting great start video surui carbon project,2
2248,love macpc ratio like 25 1 ipadperson ratio like threequarters one seriously ton ipads,2
2249,overheard quotgoogle doesnt launch products peoples eventsquot,1
2250,aos 2 giveaway picking steam sxswi mashable mashbash sxswi photo,1
2251,check designing interfaces navigation schemas uxdes,1
2252,line block week long amazing,2
2253,android 10 mobile apps iûªll using atåêsxsw,2
2254,4sq3 looks like going rock update android push tonight httpbitlyetsbzk keepaustinweird,2
2255,quotare bringing flipboard android bringing still rounding corners iosquot cmsxsw,1
2256,via still big line outside apples popup shop 3 days ipads debut,2
2257,news yahoocom loosing search traffic site googlecom doubt last tho w weird name,1
2258,web designerûªs guide ios android apps today 10,2
2259,getting ready quotipad design headachesquot,0
2260,circles circus circles ______,1
2261,heard opening downtown austin tomorrow sell ipads attendees,2
2262,able afford attend buy today consider saving,1
2263,love quotapple comes w cool technology ones ever heard dont go conferencesquot,2
2264,launching products plenty else,1
2265,fear attendees pick 2s apples austin popup shop via,2
2266,design panel good,2
2267,naomi campbell popup stores rage,1
2268,first blog post grand opening popup,1
2269,sounds like job detail bomb app would love early ado,2
2270,temporary sneaky usual,0
2271,uxdes glad standard navigation tools might one,3
2272,wonder amp flashmob tcrnchfcs45j ipad2,1
2273,nfb films app android available download time,1
2274,badger angel news nice one also giving away free 2 contest,2
2275,denying appearance circles crop fields existence next socialmedia,1
2276,amigos dont app change broadcastr bestappever,2
2277,2 turned giant camera looks plain stupid,0
2278,buy appleatxdt popup anything 2,1
2279,ill never forget march 2011 weekend japan earthquake 2 first south southwest memolane yall,2
2280,maps mobile route around traffic feature reduces fuel consumption time spent traffic,1
2281,app mxm made awesome,2
2282,rolling congress past popup social shuttle austin social media club pic,1
2283,smart positioning brand theyre search engine theyre organizing worlds info higher purpose savebrands,2
2284,hanging last night party blast,1
2285,timing everything 2 brand winner pnid,2
2286,conf everyone mac including happened pc becoming obsolete,2
2287,launch major social network called circles possibly today via,1
2288,report may announce circles groupaware social network tonight,1
2289,quottransparency choice control define productsquot mayer thereby defining brand values,2
2290,everyone using keep track plan regular calendar need guidance,1
2291,line popup 6th amp congress still block long fucking californians,1
2292,queue austin four blocks long crazy stuff,3
2293,help request wheres downtown austin ive walked past cant find amp doesnt show map search thx,1
2294,opening temporary 6th congress tomorrow march 11 sales dont miss,1
2295,weinschenk bankinnovation next battle going happen verizon att great point totally agree,2
2296,ah nice simple idea hello holler gram get know app hollergram,2
2297,qampa bing amp let games begin qagb,1
2298,microsoft lounge 4th floor first 5 android developers stop 245 get free entry windows phone mp 99,1
2299,nice im heading barton creek get mackbook pro waiting outside ipad2 woohoo,2
2300,survive live music app android,1
2301,launching social network today socialmedia,1
2302,futuremf spec recipes web search,1
2303,ipad2 goes sale first day atx tomorrow sending lorry load austin riots may ensue,2
2304,wanna know one producers going hopefully free apps dl,2
2305,check holler gram app,1
2306,thanks retweet,2
2307,walking popup like walking future type computer,1
2308,thing addition place print cuts bs newsapps panel,2
2309,finally get everyone buy facebook introduces circle fair stop innovation people,0
2310,ridiculous see someone taking photo session cannot wait see concert use silly,0
2311,well damn setting quotpopupquot shop,1
2312,havent waited line product youre missing important rite passage,2
2313,youre austin today please join talking 2,1
2314,could launch major social network called circles possibly today remake wave,1
2315,among coolgoofy things ive spied today case made look like etchnsketch grown game tug war,1
2316,tweet register exclusive passes events parties 2 quotgive mû_ cont,1
2317,launching products plenty else join us h4ckers amp 80s dan,1
2318,arrived gsdm amp industry party austin tx,1
2319,someone austin let borrow charger short time heart long time,1
2320,tablet etc aiding greater adoption mobile devices screen size larger mobilefarm,1
2321,download day lonely planet austin free limited time,1
2322,leaving bag home today traveling light hand really dont need lug around impedimenta,2
2323,lots 2s motorola xooms tabletwars,1
2324,circles amp crop circles anatomy rumor,1
2325,circles everyone going around circles,2
2326,venturebeat second day business popup appears trending vb,2
2327,got android party androidsxsw heres painting time blahzay,1
2328,product idea pants built charging dock built pocket,2
2329,improve website rankings advice bing,1
2330,nuts ûïmention via sold everything except 64gig wifi whiteû,3
2331,omgfree 2s salon h one,2
2332,find oryou go purchase ipad2 kiosk,1
2333,trying fill void local information hotpot biz claim provide photos info,1
2334,oops copypaste malfunction last tweet free shuttle correct,1
2335,googles marissa mayer locationbased fast fun future sxswi,1
2336,anyone know hours,1
2337,check designing interfaces navigation schemas uxdes,1
2338,great support web fonts,2
2339,intrvw quotgovt vending machine put get svcs platform teaching momentquot,2
2340,tweeps check homies thursday,1
2341,looking forward delicious tmobile 4g austin users struggle anything,0
2342,line moving front fruit basket imacs better worth,2
2343,line wraps around block street ipad2s popup,1
2344,protip kill iphoneipad tasks save battery,1
2345,fun analytics berklee topspin class havent used great info marketing music,2
2346,smart creates popup peddle 2 2 takes video,2
2347,passed homeless w sign saving 2,1
2348,stay charged visit mophie booth 140608 great deals juice packs ur stay tuned quotflashquot giveaways,2
2349,win ipad2 signing wantlet,1
2350,news sxswi apples temporary wth,1
2351,checking fast society app kinda like group foursquare nice thanks sharing,2
2352,ubersocial app includes uberguide mashable,1
2353,win free 2 webdoccom,1
2354,android may gaining market share youd never know apparently industry movers shakers loyalists,2
2355,fear att 3gs slowpoke network amp sxswmusic,2
2356,lots efforts helping japan many global issues wtf wpeople,2
2357,listening qampa saying see yelp services going die far interesting,2
2358,use profile fb entry point fb personal try digg reader draw people hireme,2
2359,go without saying bread going amazing googlebread,2
2360,launch major social network called circles nptech,2
2361,stumbled upon sxswapis googlebing session full terrific far,1
2362,nfb films app android available download time,1
2363,free stuff alert download austin guide free week,1
2364,like 2 line could sell space exercise class 900,1
2365,thats exactly ive sayin youre able attend buy today consider japan relief,1
2366,marissa meyer demoing augmented reality,1
2367,used small upstarts twitter played big guys making moves,1
2368,u dont need caruse zimride etc share rides shareable,2
2369,cool strike conversation bloke happens work guardian amp hours later,1
2370,latitude checkins follow foursquare rewards free googlela googlemarch,1
2371,beautiful pic,2
2372,everyone buy app day birth happy happy gsdm,2
2373,first computer kid atari 800 kids first computer able couldnt,2
2374,heard rumors circles supposed preview,1
2375,anyone seevisit temporary,2
2376,kawasaki says key enchantment likability trustworthiness amp product,1
2377,20 searches local information marissa mayer 6 million places claimed owners logged,1
2378,data overload every month 45bil pieces facebook content 3bil tweets amp 11bil searches,1
2379,circles launched interactive today bummer,1
2380,rumor opening temporary downtown austin 2 launch,1
2381,even begins wins tc,2
2382,amex teams foursquare gps social commerce credit app android blackberry viral media,1
2383,case talking search research,1
2384,quotso quotrefrigerator magnet gamequot everyone keynote stops listening,1
2385,sweet siren call gsdm party starting downstairs wrapping work desk help obiwan youre hope,1
2386,socialnetworks noch heute mit circles facebookkonkurrent via und,3
2387,ne sapete qualcosa ûïmention launch major social network called circles possibly today sxswû,1
2388,rumor opening temporary downtown austin 2 launch,2
2389,passed popup 6th 5 blocks later naked bicycle guy keep austin weird atx,1
2390,200m users credit cards syncd itunes one click purchase winning,1
2391,launch major social network called circles possibly today,1
2392,social network news abuzz launch googlecircles,2
2393,getting excited present spark team android choice awards doors open 20 min lustre pearl youre come cheer us,1
2394,false alarm circles coming probably ever much reports would unveil,1
2395,guy kawasaki ex evangelist talking eloquently art enchantment changing hearts minds actions,1
2396,meant also wish dyac stupid,0
2397,details 2 giveaway coming tonight sxswi,2
2398,beta testing interactive book app moonbot studios louisiana cool app,2
2399,going circles sns launching products plenty else,1
2400,oh god rumor opening temporary downtown austin ampipad 2 launch,2
2401,launch major social network called circles social networking back basics,1
2402,spontaniety life replaced technology battery dies go home great busy,3
2403,chances theyll booth selling 2s,2
2404,well austins place us get 2 apparently austinwins,2
2405,whrrl girls handing chances win 2 audi cars come find us,1
2406,free 23track sampler itunes,1
2407,could spend teaching theater alone look schedule,1
2408,retiring wine library tv moving onto daily grape get app yr thankyouecon,2
2409,giving away 2 kick time visit fb page info,2
2410,2 takes video,2
2411,quotmention hoot blog posthootsuite mobile sxswupdates iphonebberryandroid,1
2412,tell friends send ireports today even fun photo use cnn app upload,2
2413,party league extraordinary h4ackers promoting txt redcross 90999 help japan,1
2414,catch charles chen amp ask demo chromeos amp android access hint hes wearing braille shirt,1
2415,looking techmobile bloggers amp others join 2 panelist line tues 330 lmk,1
2416,ûïmention going checkin wfriends youûªre austin wthese locationbased apps lbs,1
2417,heads come see awesome flairbuilder release great tool ux,1
2418,never use mine go quotyoure probably using goquot disagree uxdes,3
2419,well known steve jobs hates autocorrected quotsxswquot quotasssquot,1
2420,amazing app mobil workers app telework,2
2421,overheard interactive quotarg hate want blackberry backquot shocked,0
2422,oh texas social media awards dont need ask mother anymore sxswi,1
2423,always wanted sound voice shot exploiting amp best buys 14day return policy imacs brilliant,3
2424,dislike people constantly looking would lot dislike,1
2425,really quotgoogle mequot going called quotcirclequot hmm see later today,1
2426,quotapple comes cool technology ones ever heard dont go conferencesquot,2
2427,cute one fav photos far amp,1
2428,sold everything except 64gig wifi white,0
2429,gearing make splash launch quotgroupon living socialtypequot rewards,1
2430,wont use glasses lies lies phone face people handsfree connection think arsxsw,1
2431,opening temporary downtown austin 2 launch,1
2432,calvin geek charlie sheen goddesses schmittastic,1
2433,launching products join us h4ckers amp 80s dancing today,1
2434,oh quadroid wintel qualcomm android cloud,1
2435,fucking mac users cwebb grant hill,0
2436,photo booth action party doesnt love good photo booth,2
2437,well hope make easier find little android wants say hi,2
2438,download app,1
2439,temporary def tent powerhouse gym,2
2440,must resist buying ipad2 really want notionink adam instead launch,2
2441,prizes products sigh,0
2442,quotive worked 11 years ive seen lot evilquot qagb,0
2443,schools marketing experts essdub,1
2444,moment walking looking nearly ran acc,1
2445,complete android guide print sale bookstore today 15 include 99cent upgrade 2430ready ebook signing 430,1
